"DateTime","Polygon 1"
"2015-01-27",0.003
"2015-01-28",0.0183
"2015-01-29",0
"2015-01-30",0
"2015-01-31",0.0027
"2015-02-01",0.0066
"2015-02-02",0
"2015-02-03",0.1369
"2015-02-04",0.0238
"2015-02-05",0.004
"2015-02-06",0.0143
"2015-02-07",0.0189
"2015-02-08",0.1042
"2015-02-09",0.01
"2015-02-10",0.3728
"2015-02-11",0.0088
"2015-02-12",0.0595
"2015-02-13",0
"2015-02-14",0
"2015-02-15",0.0034
"2015-02-16",0.0143
"2015-02-17",0
"2015-02-18",0.1066
"2015-02-19",0.0441
"2015-02-20",0.0105
"2015-02-21",0.1932
"2015-02-22",0.0019
"2015-02-23",0
"2015-02-24",0.0102
"2015-02-25",0.0879
"2015-02-26",0.0813
"2015-02-27",0.051
"2015-02-28",0.2475
"2015-03-01",0.0444
"2015-03-02",0.4145
"2015-03-03",0.8283
"2015-03-04",0.1653
"2015-03-05",0.2527
"2015-03-06",0.4334
"2015-03-07",0.002
"2015-03-08",0.0269
"2015-03-09",0
"2015-03-10",0.006
"2015-03-11",0.1846
"2015-03-12",0.6637
"2015-03-13",0.6469
"2015-03-14",0.0188
"2015-03-15",0.0008
"2015-03-16",0
"2015-03-17",0.0017
"2015-03-18",0.0568
"2015-03-19",0.1852
"2015-03-20",0.0685
"2015-03-21",0.0015
"2015-03-22",0.0089
"2015-03-23",0.0203
"2015-03-24",0.0928
"2015-03-25",0.0189
"2015-03-26",0.0264
"2015-03-27",0.0212
"2015-03-28",1.3888
"2015-03-29",2.037
"2015-03-30",5.0446
"2015-03-31",4.3935
"2015-04-01",0.1966
"2015-04-02",0.0968
"2015-04-03",0.9594
"2015-04-04",0.9309
"2015-04-05",0.6574
"2015-04-06",3.374
"2015-04-07",0.291
"2015-04-08",0.0679
"2015-04-09",0.5285
"2015-04-10",2.0589
"2015-04-11",3.1741
"2015-04-12",0.0784
"2015-04-13",0.1224
"2015-04-14",0.0988
"2015-04-15",0.531
"2015-04-16",1.1591
"2015-04-17",0.9942
"2015-04-18",0.0449
"2015-04-19",0.2226
"2015-04-20",0.2795
"2015-04-21",0.6865
"2015-04-22",1.1618
"2015-04-23",0.1316
"2015-04-24",0.9871
"2015-04-25",0.5083
"2015-04-26",3.5944
"2015-04-27",0.1921
"2015-04-28",0.1473
"2015-04-29",0.5533
"2015-04-30",1.9067
"2015-05-01",2.3441
"2015-05-02",7.2055
"2015-05-03",6.335
"2015-05-04",0.1034
"2015-05-05",6.6502
"2015-05-06",2.8929
"2015-05-07",3.6156
"2015-05-08",10.5537
"2015-05-09",1.8694
"2015-05-10",1.0245
"2015-05-11",1.1541
"2015-05-12",9.706
"2015-05-13",1.5115
"2015-05-14",1.135
"2015-05-15",2.825
"2015-05-16",2.1988
"2015-05-17",0.6948
"2015-05-18",1.0892
"2015-05-19",0.8658
"2015-05-20",2.6198
"2015-05-21",1.1709
"2015-05-22",2.0676
"2015-05-23",3.9689
"2015-05-24",2.9624
"2015-05-25",0.3507
"2015-05-26",0.5655
"2015-05-27",7.4119
"2015-05-28",0.5829
"2015-05-29",3.0657
"2015-05-30",6.4267
"2015-05-31",4.9685
"2015-06-01",6.5138
"2015-06-02",1.2828
"2015-06-03",3.2461
"2015-06-04",1.1142
"2015-06-05",12.7696
"2015-06-06",5.8522
"2015-06-07",3.2949
"2015-06-08",0.8513
"2015-06-09",4.5752
"2015-06-10",4.1409
"2015-06-11",3.919
"2015-06-12",1.9611
"2015-06-13",8.8882
"2015-06-14",2.0838
"2015-06-15",2.449
"2015-06-16",5.4495
"2015-06-17",14.597
"2015-06-18",5.093
"2015-06-19",1.5386
"2015-06-20",4.9613
"2015-06-21",10.5875
"2015-06-22",1.3314
"2015-06-23",4.5734
"2015-06-24",2.3088
"2015-06-25",1.2997
"2015-06-26",2.6203
"2015-06-27",8.4051
"2015-06-28",5.6428
"2015-06-29",5.6376
"2015-06-30",6.419
"2015-07-01",8.0745
"2015-07-02",2.2184
"2015-07-03",3.9264
"2015-07-04",8.0761
"2015-07-05",3.1149
"2015-07-06",0.0009
"2015-07-07",0.0161
"2015-07-08",2.1133
"2015-07-09",1.0576
"2015-07-10",5.0572
"2015-07-11",2.576
"2015-07-12",3.7214
"2015-07-13",9.8707
"2015-07-14",3.4164
"2015-07-15",9.1458
"2015-07-16",4.8058
"2015-07-17",1.5291
"2015-07-18",15.8066
"2015-07-19",7.2285
"2015-07-20",3.7589
"2015-07-21",8.4646
"2015-07-22",1.6479
"2015-07-23",11.6909
"2015-07-24",3.2281
"2015-07-25",2.2179
"2015-07-26",7.4994
"2015-07-27",8.9335
"2015-07-28",2.4359
"2015-07-29",10.5017
"2015-07-30",4.2364
"2015-07-31",3.1661
"2015-08-01",2.1678
"2015-08-02",2.8584
"2015-08-03",6.354
"2015-08-04",9.7446
"2015-08-05",9.802
